0,0,Ricky Kunze,29.09,5
1,0,Howard Emard,41.72,9
2,0,Bethany Zulauf,65.40,10
3,1,Hope Runte,37.06,10
4,1,Jordan Ebert,77.44,6
5,2,Joey Russel,47.16,3
6,2,Franklin Bartell,36.91,7
7,3,Olive Dooley,23.05,6
8,3,Lester Collier,45.62,1
9,3,Katrina Lockman,30.88,2
10,3,Latoya Bode,52.98,4
11,3,Cindy Steuber PhD,25.91,8
12,3,Alyssa Heaney,33.25,9
13,3,Karla Hessel,40.55,2
14,3,Orlando Kautzer,48.64,2
15,3,Deborah Kunze,43.92,1
16,3,Philip Zieme Jr.,62.78,3
17,3,Jean Hickle,76.47,7
18,4,Ms. Doyle Marquardt,28.03,7
19,4,Byron Bode,50.88,9
20,4,Lorenzo Weber,66.80,5
21,4,Miss Cody Renner,75.60,1
22,4,Randy Schuppe,44.00,4
23,4,Jerald O'Connell,66.60,5
24,4,Cecilia Leffler,60.11,8
25,5,Ed Pollich,22.63,2
26,5,Ms. Juan Casper,46.98,4
27,5,Mrs. Debra Nitzsche,58.99,7
28,5,James Satterfield DDS,74.52,8
29,5,Yvonne Moen,63.69,5
30,6,Alan McGlynn,65.27,3
31,6,Christopher Hills,72.16,10
32,6,Dr. Elbert Kertzmann,56.46,7
33,6,Nina Osinski,78.75,6
34,6,Stacey Ward,41.12,6
35,6,Frankie Cummerata,51.52,1
36,6,Glenda Rutherford,34.25,2
37,6,Joey Maggio,51.00,9
38,7,Everett Marquardt Jr.,67.50,6
39,7,Taylor Tillman,20.02,3
40,7,Mr. Luther Bergnaum,30.22,1
41,7,Frank Batz,53.68,2
42,7,Ebony Labadie,45.55,7
43,7,Jan Waters,37.40,9
44,7,Gina O'Conner,54.77,2
45,7,Abel Hansen,66.89,9
46,7,Gertrude Heathcote,64.63,2
47,7,Cathy Kunde,70.12,1
48,7,Darrel Spinka I,59.72,9
49,7,Guadalupe Gutmann,72.99,4
50,7,Dwight Walter,25.01,4
51,8,Bryan Trantow,49.04,5
52,8,Sophia Kshlerin DDS,69.62,8
53,8,Ervin Windler,60.78,9
54,9,Miranda Borer,40.33,5
55,9,Bernadette Schulist,24.24,8
56,9,Shari Wisoky,38.96,1
57,9,Jerald Rosenbaum,29.65,5
58,9,Miss Tim Mertz,44.12,5
59,9,Dr. Alicia Ernser,67.46,2
60,9,Ginger Douglas III,61.91,3
61,9,Cecil Mayert Sr.,35.97,8
62,9,Wesley Rosenbaum,36.77,9
63,9,Otis Hyatt,55.05,7
64,10,Kayla Heathcote,78.70,6
65,10,Lauren Kirlin,47.84,5
66,11,Michelle Shields,45.28,9
67,11,Mrs. Curtis Balistreri,41.37,6
68,11,Miranda Hodkiewicz,66.10,10
69,11,Wayne Harber,75.51,3
70,11,Robin Conn,41.84,10
